sample_id,run_accession,sample_accession,forward,reverse,Picogreen,Negative,Exp_ID,Replicate,Treatment,CopyNum,CopyNum_norm,HH,Tot,HH_norm
15,SRR17347637,SAMN24423829,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347637__15_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347637__15_2.fastq.gz,75.92023045,FALSE,2.394,1,MD,207119875,71683588,5374,82,65.53658537
16,SRR17347469,SAMN24423830,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347469__16_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347469__16_2.fastq.gz,39.44509692,FALSE,2.245,1,MD,54246290,92338209,3983,82,48.57317073
168,SRR17347458,SAMN24423982,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347458__168_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347458__168_2.fastq.gz,0.419951092,TRUE,blank8,8,blank,NA,NA,NA,NA,NA
17,SRR17347722,SAMN24423831,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347722__17_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347722__17_2.fastq.gz,136.6269749,FALSE,2.217,1,MD,1460165347,562132923,66,82,0.804878049
18,SRR17347455,SAMN24423832,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347455__18_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347455__18_2.fastq.gz,141.5148593,FALSE,2.66,1,MD,813710937,353405798,3766,82,45.92682927
189,SRR17347632,SAMN24424003,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347632__189_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347632__189_2.fastq.gz,0.316045667,TRUE,blank9,9,blank,NA,NA,NA,NA,NA
19,SRR17347452,SAMN24423833,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347452__19_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347452__19_2.fastq.gz,134.6311249,FALSE,2.140,1,MD,33989204,25573575,1057,82,12.8902439
20,SRR17347630,SAMN24423834,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347630__20_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347630__20_2.fastq.gz,95.99129503,FALSE,2.202,1,MD,23344380,23425919,4226,82,51.53658537
21,SRR17347717,SAMN24423835,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347717__21_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347717__21_2.fastq.gz,0.147199352,TRUE,blank1,1,blank,NA,NA,NA,NA,NA
42,SRR17347548,SAMN24423856,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347548__42_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347548__42_2.fastq.gz,0.116893603,TRUE,blank2,2,blank,NA,NA,NA,NA,NA
63,SRR17347586,SAMN24423877,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347586__63_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347586__63_2.fastq.gz,0.428609878,TRUE,blank3,3,blank,NA,NA,NA,NA,NA
84,SRR17347662,SAMN24423898,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347662__84_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347662__84_2.fastq.gz,0.298728097,TRUE,blank4,4,blank,NA,NA,NA,NA,NA
H2O_1,SRR17347629,SAMN24424005,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347629__H2O_1_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347629__H2O_1_2.fastq.gz,0.567150444,TRUE,H2O_1,NA,H2O,NA,NA,NA,NA,NA
H2O_2,SRR17347501,SAMN24424008,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347501__H2O_2_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347501__H2O_2_2.fastq.gz,0.350680809,TRUE,H2O_2,NA,H2O,NA,NA,NA,NA,NA
H2O_3,SRR17347628,SAMN24424006,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347628__H2O_3_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347628__H2O_3_2.fastq.gz,0.043293927,TRUE,H2O_3,NA,H2O,NA,NA,NA,NA,NA
MOCK,SRR17347631,SAMN24424004,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347631__MOCK_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347631__MOCK_2.fastq.gz,83.4273974,FALSE,MOCK,NA,mock,NA,NA,NA,NA,NA
