BioProject: PRJNA792398
Metadata file: Data/Metadata/GutMicrobiota_BeeTracking_metadata__TutorialSubset.csv
Raw FASTQ directory: Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw
Symlink directory: Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset
Samplesheet: Data/PRJNA792398__06.03.2026/samplesheet__TutorialSubset.csv
Generated at: 2026-03-06 14:46:20 CET

Total BioProject runs: 330
Runs matched to metadata Sample_ID: 33
Runs excluded (not in metadata): 297

Columns:
sample_id	run_accession	sample_accession	raw_r1	raw_r2	symlink_r1	symlink_r2
105	SRR17347479	SAMN24423919	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347479_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347479_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347479__105_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347479__105_2.fastq.gz
11	SRR17347484	SAMN24423825	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347484_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347484_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347484__11_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347484__11_2.fastq.gz
12	SRR17347646	SAMN24423826	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347646_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347646_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347646__12_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347646__12_2.fastq.gz
126	SRR17347728	SAMN24423940	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347728_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347728_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347728__126_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347728__126_2.fastq.gz
13	SRR17347518	SAMN24423827	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347518_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347518_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347518__13_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347518__13_2.fastq.gz
14	SRR17347475	SAMN24423828	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347475_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347475_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347475__14_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347475__14_2.fastq.gz
147	SRR17347513	SAMN24423961	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347513_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347513_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347513__147_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347513__147_2.fastq.gz
15	SRR17347637	SAMN24423829	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347637_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347637_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347637__15_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347637__15_2.fastq.gz
16	SRR17347469	SAMN24423830	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347469_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347469_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347469__16_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347469__16_2.fastq.gz
168	SRR17347458	SAMN24423982	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347458_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347458_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347458__168_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347458__168_2.fastq.gz
17	SRR17347722	SAMN24423831	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347722_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347722_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347722__17_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347722__17_2.fastq.gz
18	SRR17347455	SAMN24423832	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347455_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347455_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347455__18_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347455__18_2.fastq.gz
